Number,Name,Description
23,Harada House,"Japanese immigrants Jukichi and Ken Harada purchased this modest house in 1915 in the names of their American-born children because California’s Alien Land Law prohibited Japanese immigrants from owning property. The resulting court case, People v. Harada, ended in 1918 with a Riverside judge affirming the children’s constitutional right to own the home. The case became an important early civil-rights precedent, and Harada House is now recognized as a Riverside City Landmark, California Historical Landmark and National Historic Landmark."
24,Gage Canal,"Constructed under the direction of Matthew Gage beginning in 1884, the Gage Canal carried water from the Santa Ana River across Riverside to Gage’s lands in Arlington Heights. Extended to roughly twenty miles by 1888, the canal made thousands of additional acres available for irrigated agriculture and helped fuel Riverside’s great citrus and real-estate boom of the 1890s. Later lined with concrete and repeatedly improved, it remains one of Riverside’s most important surviving works of nineteenth-century engineering."
25,“Edgewild”,"Built in 1891 for brothers William and Edward Gulick, Edgewild originally stood within their forty-acre citrus ranch and nursery. The large New England-influenced residence recalls the prosperous agricultural estates that once characterized the Hawarden Hills area. After Leroy and Margaret Austin acquired the property in 1922, they extensively improved the house and grounds; their gardens received national recognition in the 1930s."
26,Mount Rubidoux,"Rising immediately west of downtown, Mount Rubidoux became one of Riverside’s defining civic landscapes after Frank A. Miller and his associates acquired the mountain in 1906 and developed a scenic road to its summit. The first Easter Sunrise Service was held here in 1909, beginning a tradition that inspired similar observances nationwide. Among the mountain’s many monuments are the summit cross and Arthur B. Benton’s 1925 Peace Tower and Friendship Bridge. Miller’s heirs donated the mountain to the City in 1955."
27,John W. North Park,"This small park marks the site where John Wesley North, principal founder of Riverside, maintained his home from 1871 to 1880 during the formative years of the new colony. North helped organize the Southern California Colony Association and played a central role in establishing Riverside as a planned community. The property became a City park in 1927, preserving a tangible association with Riverside’s founding."
28,Former City Hall (Tilden-Coil Constructors),"Completed in 1924, this Spanish Renaissance Revival building was Riverside’s first municipally owned City Hall. Its construction followed voter approval of a 1923 bond issue and provided permanent quarters for a city government that had previously occupied leased space. It remained Riverside’s governmental center until the present City Hall opened in 1975. The historic building was restored for private office use in the 1980s."
29,“Rockledge”,"Built in 1891 for citrus grower and developer Priestley Hall and his wife, Agnes Overton Hall, Rockledge occupies a prominent site overlooking the entrance to the Arlington Heights development. Hall, himself a designer and builder, constructed the imposing Victorian-era residence largely of thick adobe brick manufactured on the property. Its hilltop location was deliberately chosen to create an impressive architectural gateway to the newly developing citrus district beyond Victoria Avenue."
30,Devine House,"Architect John C. Pelton Jr. designed this Queen Anne residence in 1888 for Frank B. and Vinie Devine. Frank Devine was a pioneer of Riverside’s fruit-packing industry, shipping oranges, raisins, dried fruit and honey under the “Sunbeam” label. Built during Riverside’s first great period of citrus prosperity, the elaborate two-story house survives as an important example of the substantial residences constructed by the city’s successful agricultural entrepreneurs."
31,“Raeburn”,"Built in 1897 for William Irving, president of the Gage Canal Company, Raeburn is an imposing Queen Anne residence set within Riverside’s historic citrus greenbelt. Described by the City as the area’s first “grove mansion,” the house reflects the wealth generated by the irrigation and citrus industries that transformed Arlington Heights during the late nineteenth century."
32,Arcade Building,"Designed by prominent Los Angeles architects Walker & Eisen, the Arcade Building was constructed about 1928 for the Security Title Insurance and Guaranty Company. Its Spanish Renaissance design incorporates an interior pedestrian arcade, combining commercial space with the romantic Mediterranean architecture then reshaping downtown Riverside. The building was restored in 1976."
33,Bonnett Building,"Built in 1908, the Bonnett Building is an unusual example of a downtown commercial structure physically altered in response to a changing streetscape. When Orange Street was widened in 1929, owner E. M. Bonnett reconstructed the ground floor at the new property line, using a series of arches to support the projecting second story. The resulting façade gives the building its distinctive Spanish Colonial Revival character."
34,Estudillo House,"Built in 1911 from plans by Riverside architect Seeley L. Pillar, the Estudillo House is a well-preserved California bungalow associated with one of Riverside’s prominent early public officials. Miguel Estudillo, who served in the California Assembly and Senate and for many years as Riverside City Attorney, lived here with his family from 1918 until his death in 1950."
35,Irvine House,"Los Angeles architects Seehorn & Preston designed this distinctive residence in 1906 for Len and Stella Irvine. Its eclectic design combines several architectural influences, including pronounced Norman elements, rather than adhering to a single revival style. Stella Irvine was a prominent temperance advocate who served as regional president of the Woman’s Christian Temperance Union."
36,Waite House,"Construction of this elaborate Queen Anne residence began in 1884 for Riverside pioneers Lyman and Lillian Waite and was completed in its expanded form in 1890. With its towers, steep roofs and richly detailed exterior, the house is one of the city’s notable surviving Victorian-era residences. Lyman Waite served as Riverside’s first notary public and as a local Justice of the Peace."
37,Cressman House,"Designed in 1902 by architects Burnham & Bliesner, the Cressman House is a residential interpretation of the Mission Revival style that was becoming closely associated with Riverside at the turn of the twentieth century. Its original owner, Cressman, worked as a deputy with the Riverside County Sheriff’s Office. The house also reflects the growing popularity of regionally inspired architecture beyond Riverside’s major civic and commercial buildings."
38,Grant School,"Designed by Riverside architect G. Stanley Wilson, Grant School opened in 1935 after the original 1889 school building was demolished following damage from the 1933 Long Beach earthquake. The Mission Revival campus continued a style strongly associated with Riverside’s civic architecture. A fountain installed in 1896 survives from the earlier school grounds, providing a tangible link between the two generations of buildings on the site."
39,Fox Theater,"Designed by the architectural firm Balch & Stanbery, the Fox Theater opened in 1929 as a Spanish Colonial Revival movie and vaudeville palace. Its stage hosted performers including Bing Crosby and Judy Garland, while its proximity to Hollywood made it an important preview theater for motion pictures. In 1939, the Fox hosted the first public screening of Gone with the Wind. Restored by the City, it now operates as the Fox Performing Arts Center."
40,Seventh Street Historic District,"Extending along present-day Mission Inn Avenue from the railroad district toward the Buena Vista Bridge, the Seventh Street Historic District preserves one of Riverside’s most important historic corridors. Developed primarily from the late nineteenth century through the 1930s and ’40s, it contains notable residential, commercial and civic architecture as well as Raincross streetlights and historic streetscape features. The former Seventh Street served as Riverside’s principal east-west gateway between its railroad, citrus-packing and downtown districts."
41,Former YMCA Building (Life Arts Center),"Built in 1909 as Riverside’s second YMCA building, this Italian Renaissance palazzo–inspired structure served the organization until 1968. In addition to recreational facilities, the building included guest rooms and other spaces intended to support the YMCA’s educational and social mission. It later became the Life Arts Center, continuing its long history as a community-oriented building."
42,“Greystones”,"Built in 1902 for John Mylne, a Canadian immigrant and assistant engineer on the Gage Canal, Greystones is a Classical Revival residence set amid the historic citrus landscape of Hawarden Hills. Its name comes from the locally quarried granite used for the foundation and for retaining walls along the garden and drive. The house reflects both Riverside’s citrus-era prosperity and the development of substantial country residences in Arlington Heights."
43,Lerner Building,"Constructed in 1927 for Moses H. Lerner, the Lerner Building was designed by Joseph R. Scheneck as a brick Italian Renaissance commercial and office building. Its scale and architectural treatment reflect downtown Riverside’s rapid commercial growth during the 1920s, when increasingly substantial office and retail buildings reshaped the city center."
44,Hole Mansion,"Designed by Arthur B. Benton and built between 1912 and 1915 for developer Willits J. Hole, this rustic bungalow was the principal residence of Hole’s extensive La Sierra ranch. Hole had acquired approximately 10,000 acres of the former Rancho La Sierra Sepulveda in 1909. Constructed with massive local-stone walls and set within landscaped grounds, the house survives as an important reminder of La Sierra’s ranching and agricultural period before suburban development."
45,Collins-Seaton House,"Los Angeles architect O. P. Dennis designed this Classical Revival residence in 1900 for real-estate broker William S. Collins and his wife. Banker George A. Seaton acquired the house in 1902 and installed much of its elaborate interior woodwork, while the residence became a setting for Riverside social events. Its prominent classical composition and surviving porte-cochère make it one of the city’s strongest examples of turn-of-the-century Classical Revival residential architecture."
46,Arlington Branch Library,"Designed by Riverside architect Seeley L. Pillar and completed in 1909, the Arlington Branch Library is Riverside’s oldest surviving library building and its first purpose-built branch library. Funded in part by philanthropist Andrew Carnegie, the Classical Revival building served not only as a library but at various times also accommodated the fire department, National Guard and Depression-era relief services. G. Stanley Wilson designed a 1927–28 remodeling."
47,Batkin-Chrysler House,"Built in 1896 for John S. Batkin, the Batkin-Chrysler House is a substantial Queen Anne residence characteristic of Riverside’s late nineteenth-century prosperity. Its irregular massing, detailed exterior and spacious interior reflect the elaborate domestic architecture favored by successful Riverside residents during the citrus boom. The house has remained one of the city’s notable surviving Victorian-era residences."
48,Riverside City College Quadrangle,"Begun in 1924 from designs by Riverside architect G. Stanley Wilson, the Riverside City College Quadrangle developed in stages around a central courtyard, recalling the organization and appearance of an Italian Renaissance palazzo. The first buildings provided dedicated facilities for the young Riverside Junior College, which until then had shared space with Riverside Polytechnic High School. Additional wings, including the auditorium, gradually completed the complex during the 1920s and early 1930s."
49,Former University Heights Junior High School (César Chávez Community Center),"Designed by John C. Austin of the Los Angeles firm Austin & Ashley, University Heights Junior High School opened in 1928 as an imposing Spanish Colonial Revival campus. Its opening coincided with the end of gender-segregated junior-high instruction in Riverside. After the school closed in 1972, the City acquired the property for community use; the main building now serves as the César Chávez Community Center at Bobby Bonds Park. It is also listed in the National Register of Historic Places."
50,Former Rouse’s Department Store Building (UCR Arts),"Originally built in 1895, this Main Street commercial building was remodeled several times as Rouse’s grew into one of downtown Riverside’s leading department stores. Its most important transformation came in 1924, when architect G. Stanley Wilson redesigned the façade with details inspired by fifteenth-century Spanish Renaissance architecture. Portions of Wilson’s work survive on the upper story, preserving the building’s association with Riverside’s early twentieth-century retail district."
51,Ward House,"Built in 1887 by undertaker George F. Ward for his family, the Ward House is a well-preserved Victorian residence incorporating Queen Anne and Eastlake details. Ward was also active in civic life, serving as chief of Riverside’s volunteer fire department from 1890 to 1896 and later as a member of the City Council. The house survives as an important example of Riverside’s late nineteenth-century residential architecture."
52,Peter J. Weber House,"This house was designed and built by architect Peter J. Weber in the 1930s as a family residence and an expression of his creative work. The house is notable for its eclectic Depression-era design inspired by Medieval Spanish brick and half-timbering structures (with additional elements of Moorish and broadly Mediterranean influences), its reliance on salvaged materials, and its thoughtful energy-conserving systems."
53,Moulton House,"Built in 1899 for Ernest and Julia Moulton, this substantial Classical Revival residence reflects the prosperity of Riverside at the height of its citrus-era development. Ernest Moulton was a prominent local businessman who served as president of the First National Bank of Riverside. The house is one of the surviving large residences that once gave Magnolia Avenue much of its distinguished residential character."
54,Victoria Bridge,"The first Victoria Bridge was constructed of wood in 1891 to connect the newly developing Arlington Heights tract with central Riverside. It later carried a streetcar line but proved inadequate for increasingly heavy traffic. The present reinforced-concrete bridge, completed in 1928 and designed by engineer R. V. Leeson, replaced the earlier structure while maintaining this important link along historic Victoria Avenue."
55,Hoover House,"Citrus grower and Riverside County Supervisor Martin Hoover and his wife built this residence in 1908, combining elements of the Queen Anne and Classical Revival styles. Originally located on Seventh Street, the house was moved to Redwood Drive rather than demolished, becoming the first Riverside building relocated specifically as part of the City’s historic-preservation efforts. Its preservation marked an important early milestone in Riverside’s developing commitment to historic conservation."
56,Former Palm School (Riverside Adult School),"Designed by Riverside architect G. Stanley Wilson and completed in 1927, Palm Elementary School is a Spanish Colonial Revival campus characteristic of Wilson’s civic work during the period. It served generations of Riverside students before closing as a conventional elementary school in the 1970s and later housed Riverside Unified School District programs. Its architecture reflects the widespread use of Spanish and Mission-inspired forms in Riverside’s early twentieth-century public buildings."
57,White Park,"Established in 1883, White Park is Riverside’s oldest city park. Early improvements transformed the site into a lush botanical garden with ornamental plantings, a bandstand, footbridges and a canal, creating an important recreational landscape in the growing city. Although the park has changed substantially over time, it remains one of Riverside’s earliest surviving public spaces and an important remnant of nineteenth-century civic planning."
58,Orchard House,"Constructed between 1917 and 1920 for attorney and citrus grower William G. Irving, Orchard House is a large Tudor Revival residence set within the historic citrus landscape of Hawarden Hills. Its twelve-room design reflects the estate-scale homes developed among Riverside’s prosperous agricultural and professional families during the early twentieth century. The surrounding setting preserves a strong connection to the area’s citrus-growing past."
59,“La Ventanilla” Robert Bettner House,"Built in 1892 for Robert and Lucy Bettner, this picturesque single-story residence is one of the few surviving houses from the period when Magnolia Avenue was lined with elegant homes and citrus estates. The Bettners called the house “La Ventanilla,” or “the house of little windows.” Robert Bettner, a member of one of Riverside’s prominent citrus families, later entered the real-estate business. The house and its landscaped grounds preserve an increasingly rare glimpse of nineteenth-century Magnolia Avenue."
60,Chicago White Sox Redwood Tree,"This coast redwood was planted in 1914 during a visit to Riverside by members of the Chicago White Sox baseball team, commemorating the city’s connection with professional baseball and spring exhibition games. Team owner Charles A. Comiskey later provided a commemorative tablet for the tree. More than a century later, the redwood survives in Low Park as an unusual living landmark linking Riverside’s landscape history with the early years of Major League Baseball."
61,Montezuma Bald Cypress Trees,"These Montezuma bald cypress trees are among the oldest surviving landscape features at Fairmount Park. Their planting is generally attributed to Captain Charles Dexter, one of the park’s founders, around 1903. The trees were later incorporated into the expanded lake landscape and survived major alterations to the park, including the 1938 flood. They remain a distinctive living reminder of Fairmount Park’s earliest development."
62,Magnolia Avenue Parkways & Center Median,"This landscaped section of Magnolia Avenue preserves the character of one of Riverside’s earliest and most influential scenic boulevards. Beginning in 1876, eucalyptus, oaks, palms and other plantings were used to create a broad, park-like avenue through the growing community. Its combination of roadway, landscaped median and parkways helped establish a model for ornamental urban streetscapes and remains an important part of Riverside’s historic landscape identity."
63,Palm Grove,"This collection of thirty-four palms represents six varieties and was moved to Hunter Park in 1962 from the former Harrison Wright residence near Adams Street and Magnolia Avenue. Preserved together rather than dispersed or removed, the grove reflects Riverside’s long horticultural tradition and the importance of palms to the city’s historic landscape character."
64,Roosevelt Palm,"President Theodore Roosevelt planted this Mexican fan palm on May 8, 1903, during his visit to Riverside. Originally known as the Queen Victoria Palm, the tree became a living memorial to Roosevelt’s visit and to Riverside’s prominence during the height of the citrus era. It remains one of the city’s most directly documented historic trees and is prominently located along Victoria Avenue."
65,Native Sycamore Tree,"This mature native sycamore marks the former site of the Lee Duncan Ranch, where Duncan trained and cared for the famous motion-picture dog Rin-Tin-Tin. Preserved within a residential median, the tree is significant less for its horticultural rarity than for its association with one of Riverside’s unusual connections to early Hollywood history."
66,Horse Chestnut Tree,"Local horticulturist Captain Damner originally planted this horse chestnut at his home near Mary Street and Victoria Avenue. When Mary Street was widened in 1978, the City transplanted the mature tree into the center divider of Victoria Avenue rather than remove it. Its preservation reflects both Riverside’s horticultural heritage and the City’s early recognition that significant landscape features could merit the same protection as historic buildings."
67,Evergreen Cemetery & Riverside Mausoleum,"Established in 1872, Evergreen is Riverside’s oldest cemetery and the burial place of many people central to the city’s history, including John W. North, Frank A. Miller, and Luther and Eliza Tibbets. The Egyptian Revival mausoleum was built in 1914 by W. C. Crowell of Pasadena. Together, the cemetery and mausoleum form an exceptionally important historic landscape documenting Riverside’s founding generation and subsequent civic development."
68,Mitchell House,"Built in 1893 for David G. Mitchell, this two-story Queen Anne residence was one of four Riverside houses constructed from the same stock plan. Mitchell, a Civil War veteran who fought at Gettysburg, helped organize the movement that created Riverside County and was elected county treasurer in its first election in 1893. He and his family lived here until 1907."
69,Fairmount Park,"Fairmount Park developed from the late nineteenth century into Riverside’s principal municipal recreation landscape. In 1911, the nationally prominent Olmsted Brothers prepared a plan for the park, influencing its arrangement of open lawns, lakes, circulation and planted areas. Subsequent additions created the landscape familiar today, including Lake Evans, recreational facilities and civic gathering spaces. The park remains one of Riverside’s most important historic public landscapes."
70,“Harwood Hall”,"Built in 1904 for Harwood Hall, the first superintendent of the Sherman Institute, this one-and-a-half-story residence is an excellent example of the California bungalow. Hall oversaw the federal Indian boarding school during its early years, making the house significant not only architecturally but also for its association with the administration of a federal institution created as part of the broader assimilationist boarding-school system imposed on Native American students."
71,Shiels House,"Built in 1887 by G. Olivo Newman, the Shiels House is a late Victorian residence in Prospect Place, one of Riverside’s earliest residential subdivisions. John Shiels and his family first rented the house in 1901, purchased it in 1906, and continued to occupy it for more than six decades. The house preserves an important link to Riverside’s early neighborhood development outside the original downtown core."
72,McIntyre House,"Built about 1892 by Riverside designer-builder D. J. McLeod for attorney William J. McIntyre, this residence is a highly intact example of Victorian architecture with strong Eastlake influence. McIntyre served as Riverside City Attorney and was active in the movement that led to the creation of Riverside County. Long ownership by only two families helped preserve much of the house’s original character."
73,Newman Park and the De Anza Statue,"Created in 1940 with support from the Works Progress Administration, the De Anza monument commemorates Spanish explorer Juan Bautista de Anza. Artist Dorr Bothwell designed the work and Sherry Peticolas sculpted it, using Ed J. Loustanau, a descendant of De Anza’s brother, as the model. Set within Newman Park, the sculpture is a notable example of Riverside’s Depression-era public art."
74,Buena Vista Bridge,"Completed in 1931 as part of improvements to Riverside’s western gateway, Buena Vista Bridge was designed by Davidson and Fulmor and constructed with locally quarried, hand-cut stone. Its picturesque design complemented the widening of the Santa Ana River bridge and the former Seventh Street approach to downtown. The bridge remains a distinctive component of the historic entrance to Riverside at the foot of Mount Rubidoux."
75,"Stone House, 3241 Mary Street","Built in 1929, this modest residence is one of Riverside’s best surviving examples of the vernacular stone houses and bungalows constructed in the region during the 1910s and 1920s. Its use of exposed local stone reflects a building tradition that combined inexpensive native materials with the informal scale and craftsmanship associated with California bungalow architecture."
76,"Stone House, 2110 Mission Inn Avenue","Constructed in 1926, this residence is another important example of Riverside’s vernacular stone-building tradition. Its walls of local stone and modest bungalow form typify a once more common regional construction method of the early twentieth century. The house also contributes to the historic character of the Seventh Street East Historic District, where the City identifies it as one of the area’s notable landmarks."
77,Hammer-Wallihan House,"Designed by Riverside architect Henry L. A. Jekel and built in 1926, the Hammer-Wallihan House is a particularly refined example of the city’s stone bungalow tradition. Jekel adapted the rustic qualities of local stone construction to a carefully composed residential design, combining craftsmanship and picturesque massing with the informal character associated with Southern California bungalow architecture."
78,Jarvis House,"Built in 1888 for John T. Jarvis, this substantial Victorian residence was dramatically remodeled in 1914 to reflect changing architectural tastes. Its original tower and third-story dormers were removed, while a broad porch and central gable gave the house a more bungalow-like appearance. Jarvis was a prominent Riverside businessman and civic leader who served on the City Council and later as mayor."
79,William Collier House,"Built for Riverside attorney William Collier around 1892, this Queen Anne residence is associated with a prominent early lawyer and developer who helped establish the communities of Lake Elsinore and Wildomar. R. H. Polkinghorn, later Riverside County’s first County Administrator, subsequently occupied the house. Threatened with demolition, it was moved from Prospect Avenue to its present location on Lime Street in 1987."
80,M. H. Simons Undertaking Chapel,"Designed by G. Stanley Wilson and completed in 1925 for mortician Melvin H. Simons, this Mission Revival building was purpose-built to accommodate the specialized requirements of an undertaking business. Its architecture represents some of Wilson’s strongest commercial work and reflects the 1920s civic effort to give downtown Riverside a cohesive Mission and Spanish Colonial architectural identity. The Simons family operated the mortuary here until 1966."
81,William Childs House,"Built in 1910, the William Childs House is a Craftsman bungalow associated with the former 200-acre Monte Vista Nursery. Childs was a partner in the nursery, which specialized in oranges, and the house survives as a residential reminder of the extensive citrus-growing and nursery operations that once occupied this part of Riverside."
82,“Hartree Grove”,"Hartree Grove began as an adobe residence constructed in 1892. Its second owner, Herman Wilson, acquired the property in 1899 and named it after a family castle in Scotland. In 1901 he remodeled the house to resemble a Scottish country house, giving the property the distinctive appearance it retains today."
83,First Christian Church Parsonage,"Built in the 1880s as the parsonage for Riverside’s First Christian Church, this early residence originally stood at 3737 Vine Street. It was moved to its present location on Mission Inn Avenue in 1993 and adapted for use as a private residence. Its preservation records both Riverside’s early religious history and the city’s practice of relocating threatened historic buildings."
84,Former Aurea Vista Hotel (Aurea Vista Nightclub),"Designed by Riverside architect G. Stanley Wilson and completed in 1927, the Aurea Vista Hotel is a Spanish-Moorish style building created primarily for long-term residential guests. Its richly styled exterior reflects the popularity of Spanish and Mediterranean revival architecture in Riverside during the 1920s and Wilson’s important role in shaping the city’s architectural character."
85,Former Casa de Anza Motel (Santa Cruz Inn),"Casa de Anza developed around an earlier duplex that was moved to the site about 1923. In 1939, architect G. Stanley Wilson designed the Spanish Colonial Revival motel complex that incorporated the older building. The property reflects the rise of automobile tourism and roadside lodging in Riverside during the early twentieth century."
86,Rockledge Cottage,"Built in 1901 as a one-story Craftsman residence for Englishman Hugh G. Newton, Rockledge Cottage was enlarged around 1910 with a second story designed by architect Franklin P. Burnham, designer of the Riverside County Courthouse. New York banker William A. Lombard purchased the property in 1917 and gave it the name Rockledge Cottage."
87,Tetley Building,"Architect G. Stanley Wilson designed this Spanish Colonial style commercial complex for Riverside businessman Frank A. Tetley, with construction beginning in 1925. The buildings reflect the coordinated Spanish and Mediterranean architectural character that increasingly defined Riverside’s commercial districts during the 1920s."
